ID,X,Y
535,"[0, 2, 0.03162114949288003, 0]",1
536,"[0, 2, 0.06616064705257818, 1]",1
537,"[0, 2, 0.05684207506275152, 0]",0
538,"[0, 1, 0.029381683581563997, 0]",1
539,"[0, 1, 0.13907904590695908, 1]",1
540,"[0, 1, 0.04620569149694806, 1]",1
541,"[0, 1, 0.09028192345380465, 0]",1
542,"[1, 2, 0.016540161763144545, 0]",1
543,"[1, 2, 0.01859942482403115, 0]",0
544,"[0, 1, 0.10785119608914608, 1]",1
545,"[0, 3, 0.0367393899795833, 0]",0
546,"[0, 2, 0.06321774813952687, 1]",1
547,"[1, 1, 0.04733063334287595, 0]",1
548,"[1, 1, 0.014399745073305412, 0]",0
549,"[1, 1, 0.02954991577467574, 0]",0
550,"[0, 3, 0.08253835580603767, 0]",1
551,"[1, 1, 0.03284518218236339, 0]",0
552,"[0, 1, 0.057584899399561164, 0]",1
553,"[1, 2, 0.04164442796407722, 0]",0
554,"[1, 1, 0.016673321401506562, 0]",0
555,"[0, 1, 0.05139115786900129, 0]",0
556,"[1, 2, 0.0418420830323032, 0]",0
